County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Aitkin,5/2/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/2/2020,260,14,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/2/2020,10,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/2/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/2/2020,29,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/2/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/2/2020,41,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/2/2020,8,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/2/2020,59,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/2/2020,25,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/2/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/2/2020,2,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/2/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/2/2020,169,13,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/2/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/2/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/2/2020,27,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/2/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/2/2020,189,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/2/2020,22,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/2/2020,3,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/2/2020,6,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/2/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/2/2020,35,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/2/2020,21,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/2/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/2/2020,1980,259,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/2/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/2/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/2/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/2/2020,7,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/2/2020,18,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/2/2020,1,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/2/2020,145,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/2/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/2/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/2/2020,1,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/2/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/2/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/2/2020,25,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/2/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/2/2020,8,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/2/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/2/2020,3,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/2/2020,110,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/2/2020,4,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/2/2020,14,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/2/2020,2,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/2/2020,6,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/2/2020,28,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/2/2020,16,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/2/2020,15,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/2/2020,899,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/2/2020,8,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/2/2020,282,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/2/2020,17,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/2/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/2/2020,58,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/2/2020,3,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/2/2020,36,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/2/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/2/2020,453,31,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/2/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/2/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/2/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/2/2020,18,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/2/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/2/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/2/2020,52,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/2/2020,50,0,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/2/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/2/2020,74,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/2/2020,531,0,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/2/2020,20,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/2/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/2/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/2/2020,8,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/2/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/2/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/2/2020,1,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/2/2020,5,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/2/2020,142,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/2/2020,14,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/2/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/2/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/2/2020,48,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/2/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/3/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/3/2020,281,17,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/3/2020,10,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/3/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/3/2020,32,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/3/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/3/2020,46,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/3/2020,8,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/3/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/3/2020,26,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/3/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/3/2020,3,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/3/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/3/2020,176,13,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/3/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/3/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/3/2020,28,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/3/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/3/2020,202,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/3/2020,22,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/3/2020,3,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/3/2020,6,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/3/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/3/2020,35,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/3/2020,21,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/3/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/3/2020,2151,277,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/3/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/3/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/3/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/3/2020,11,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/3/2020,18,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/3/2020,1,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/3/2020,167,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/3/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/3/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/3/2020,1,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/3/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/3/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/3/2020,26,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/3/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/3/2020,9,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/3/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/3/2020,5,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/3/2020,109,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/3/2020,4,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/3/2020,15,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/3/2020,2,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/3/2020,6,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/3/2020,28,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/3/2020,17,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/3/2020,15,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/3/2020,940,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/3/2020,8,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/3/2020,293,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/3/2020,17,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/3/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/3/2020,58,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/3/2020,3,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/3/2020,41,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/3/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/3/2020,493,34,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/3/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/3/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/3/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/3/2020,20,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/3/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/3/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/3/2020,58,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/3/2020,54,0,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/3/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/3/2020,75,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/3/2020,589,0,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/3/2020,21,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/3/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/3/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/3/2020,8,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/3/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/3/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/3/2020,1,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/3/2020,6,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/3/2020,146,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/3/2020,14,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/3/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/3/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/3/2020,50,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/3/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/4/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/4/2020,299,17,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/4/2020,13,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/4/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/4/2020,35,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/4/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/4/2020,50,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/4/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/4/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/4/2020,27,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/4/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/4/2020,3,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/4/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/4/2020,190,13,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/4/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/4/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/4/2020,37,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/4/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/4/2020,215,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/4/2020,21,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/4/2020,7,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/4/2020,7,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/4/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/4/2020,36,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/4/2020,23,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/4/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/4/2020,2298,284,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/4/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/4/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/4/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/4/2020,12,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/4/2020,24,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/4/2020,1,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/4/2020,188,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/4/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/4/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/4/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/4/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/4/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/4/2020,26,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/4/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/4/2020,9,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/4/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/4/2020,7,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/4/2020,108,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/4/2020,4,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/4/2020,17,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/4/2020,3,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/4/2020,6,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/4/2020,32,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/4/2020,17,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/4/2020,16,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/4/2020,1011,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/4/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/4/2020,305,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/4/2020,18,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/4/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/4/2020,60,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/4/2020,4,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/4/2020,42,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/4/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/4/2020,535,34,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/4/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/4/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/4/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
