County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Rice,5/4/2020,24,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/4/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/4/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/4/2020,63,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/4/2020,61,0,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/4/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/4/2020,79,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/4/2020,728,2,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/4/2020,24,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/4/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/4/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/4/2020,15,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/4/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/4/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/4/2020,2,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/4/2020,6,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/4/2020,152,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/4/2020,15,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/4/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/4/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/4/2020,54,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/4/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/5/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/5/2020,344,20,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/5/2020,15,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/5/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/5/2020,48,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/5/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/5/2020,51,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/5/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/5/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/5/2020,39,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/5/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/5/2020,3,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/5/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/5/2020,201,14,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/5/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/5/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/5/2020,41,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/5/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/5/2020,241,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/5/2020,21,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/5/2020,10,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/5/2020,7,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/5/2020,12,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/5/2020,37,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/5/2020,23,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/5/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/5/2020,2519,303,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/5/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/5/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/5/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/5/2020,13,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/5/2020,25,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/5/2020,2,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/5/2020,200,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/5/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/5/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/5/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/5/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/5/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/5/2020,26,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/5/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/5/2020,10,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/5/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/5/2020,7,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/5/2020,110,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/5/2020,5,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/5/2020,17,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/5/2020,4,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/5/2020,7,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/5/2020,33,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/5/2020,20,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/5/2020,16,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/5/2020,1069,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/5/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/5/2020,313,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/5/2020,19,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/5/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/5/2020,60,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/5/2020,4,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/5/2020,42,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/5/2020,1,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/5/2020,583,37,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/5/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/5/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/5/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/5/2020,30,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/5/2020,18,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/5/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/5/2020,74,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/5/2020,71,1,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/5/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/5/2020,81,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/5/2020,815,2,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/5/2020,25,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/5/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/5/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/5/2020,15,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/5/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/5/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/5/2020,3,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/5/2020,6,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/5/2020,162,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/5/2020,15,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/5/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/5/2020,68,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/5/2020,60,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/5/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/6/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/6/2020,382,24,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/6/2020,16,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/6/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/6/2020,59,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/6/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/6/2020,53,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/6/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/6/2020,61,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/6/2020,51,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/6/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/6/2020,4,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/6/2020,14,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/6/2020,215,14,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/6/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/6/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/6/2020,42,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/6/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/6/2020,292,12,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/6/2020,21,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/6/2020,12,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/6/2020,8,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/6/2020,12,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/6/2020,38,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/6/2020,23,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/6/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/6/2020,2764,325,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/6/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/6/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/6/2020,7,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/6/2020,24,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/6/2020,25,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/6/2020,2,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/6/2020,211,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/6/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/6/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/6/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/6/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/6/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/6/2020,26,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/6/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/6/2020,11,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/6/2020,2,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/6/2020,7,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/6/2020,111,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/6/2020,6,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/6/2020,18,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/6/2020,5,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/6/2020,9,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/6/2020,35,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/6/2020,20,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/6/2020,17,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/6/2020,1082,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/6/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/6/2020,322,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/6/2020,19,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/6/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/6/2020,61,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/6/2020,4,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/6/2020,43,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/6/2020,1,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/6/2020,656,38,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/6/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/6/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/6/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/6/2020,30,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/6/2020,18,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/6/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/6/2020,90,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/6/2020,80,1,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/6/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/6/2020,86,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/6/2020,975,3,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/6/2020,29,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/6/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/6/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/6/2020,18,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/6/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/6/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/6/2020,3,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/6/2020,7,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/6/2020,181,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/6/2020,15,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/6/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/6/2020,68,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/6/2020,69,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/6/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/7/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/7/2020,426,27,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/7/2020,18,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/7/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/7/2020,64,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/7/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/7/2020,55,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/7/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/7/2020,62,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/7/2020,58,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/7/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/7/2020,5,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/7/2020,14,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/7/2020,222,15,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/7/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/7/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/7/2020,43,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/7/2020,23,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/7/2020,322,12,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/7/2020,21,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/7/2020,14,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/7/2020,7,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/7/2020,12,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/7/2020,39,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/7/2020,25,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/7/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/7/2020,2962,342,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/7/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/7/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/7/2020,7,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/7/2020,24,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/7/2020,29,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/7/2020,4,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/7/2020,238,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/7/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/7/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/7/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/7/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/7/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/7/2020,28,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/7/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/7/2020,15,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/7/2020,2,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/7/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
