County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Martin,5/7/2020,111,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/7/2020,6,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/7/2020,18,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/7/2020,6,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/7/2020,11,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/7/2020,36,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/7/2020,25,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/7/2020,18,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/7/2020,1153,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/7/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/7/2020,336,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/7/2020,21,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/7/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/7/2020,61,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/7/2020,5,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/7/2020,43,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/7/2020,3,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/7/2020,717,39,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/7/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/7/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/7/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/7/2020,48,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/7/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/7/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/7/2020,100,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/7/2020,88,1,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/7/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/7/2020,89,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/7/2020,1161,4,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/7/2020,37,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/7/2020,1,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/7/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/7/2020,26,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/7/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/7/2020,12,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/7/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/7/2020,12,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/7/2020,193,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/7/2020,18,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/7/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/7/2020,68,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/7/2020,73,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/7/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/8/2020,2,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/8/2020,477,27,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/8/2020,22,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/8/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/8/2020,76,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/8/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/8/2020,55,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/8/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/8/2020,64,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/8/2020,69,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/8/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/8/2020,5,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/8/2020,18,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/8/2020,229,15,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/8/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/8/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/8/2020,43,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/8/2020,24,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/8/2020,364,12,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/8/2020,24,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/8/2020,15,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/8/2020,7,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/8/2020,12,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/8/2020,41,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/8/2020,25,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/8/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/8/2020,3153,362,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/8/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/8/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/8/2020,7,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/8/2020,24,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/8/2020,29,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/8/2020,5,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/8/2020,261,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/8/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/8/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/8/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/8/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/8/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/8/2020,28,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/8/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/8/2020,16,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/8/2020,2,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/8/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/8/2020,111,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/8/2020,8,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/8/2020,20,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/8/2020,6,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/8/2020,12,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/8/2020,37,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/8/2020,26,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/8/2020,18,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/8/2020,1177,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/8/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/8/2020,351,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/8/2020,21,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/8/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/8/2020,61,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/8/2020,6,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/8/2020,45,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/8/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/8/2020,800,42,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/8/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/8/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/8/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/8/2020,81,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/8/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/8/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/8/2020,121,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/8/2020,95,1,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/8/2020,3,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/8/2020,90,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/8/2020,1274,4,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/8/2020,45,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/8/2020,1,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/8/2020,3,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/8/2020,29,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/8/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/8/2020,13,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/8/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/8/2020,13,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/8/2020,211,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/8/2020,19,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/8/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/8/2020,68,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/8/2020,83,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/8/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/9/2020,2,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/9/2020,518,29,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/9/2020,25,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/9/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/9/2020,87,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/9/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/9/2020,64,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/9/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/9/2020,64,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/9/2020,78,1,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/9/2020,8,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/9/2020,5,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/9/2020,19,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/9/2020,233,16,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/9/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/9/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/9/2020,45,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/9/2020,24,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/9/2020,408,15,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/9/2020,24,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/9/2020,15,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/9/2020,10,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/9/2020,12,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/9/2020,43,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/9/2020,25,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/9/2020,2,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/9/2020,3379,374,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/9/2020,2,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/9/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/9/2020,7,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,5/9/2020,25,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,5/9/2020,31,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,5/9/2020,9,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,5/9/2020,276,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,5/9/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,5/9/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac qui Parle,5/9/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,5/9/2020,1,0,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake of the Woods,5/9/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,5/9/2020,28,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,5/9/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,5/9/2020,17,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,5/9/2020,2,1,087,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,5/9/2020,8,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,5/9/2020,112,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest
McLeod,5/9/2020,8,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,5/9/2020,21,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,5/9/2020,7,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,5/9/2020,13,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,5/9/2020,42,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,5/9/2020,27,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,5/9/2020,21,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,5/9/2020,1230,2,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,5/9/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5/9/2020,363,9,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,5/9/2020,23,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,5/9/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,5/9/2020,69,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,5/9/2020,7,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,5/9/2020,48,1,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,5/9/2020,5,0,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,5/9/2020,875,43,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,5/9/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,5/9/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,5/9/2020,6,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,5/9/2020,102,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,5/9/2020,19,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,5/9/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
Scott,5/9/2020,129,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,5/9/2020,107,1,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,5/9/2020,3,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
St. Louis,5/9/2020,91,12,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Stearns,5/9/2020,1348,5,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,5/9/2020,58,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,5/9/2020,1,0,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,5/9/2020,3,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,5/9/2020,33,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,5/9/2020,3,0,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,5/9/2020,13,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,5/9/2020,4,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,5/9/2020,16,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,5/9/2020,231,14,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,5/9/2020,22,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,5/9/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,5/9/2020,70,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,5/9/2020,92,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,5/9/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Aitkin,5/10/2020,2,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/10/2020,549,29,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/10/2020,25,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/10/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/10/2020,92,2,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/10/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/10/2020,65,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/10/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/10/2020,64,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/10/2020,82,1,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/10/2020,8,1,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/10/2020,6,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/10/2020,20,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/10/2020,235,17,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/10/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/10/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/10/2020,46,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/10/2020,23,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/10/2020,430,15,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/10/2020,26,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/10/2020,16,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/10/2020,12,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/10/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
