County, total.pop ,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/28/2020,4/29/2020,4/30/2020
"Aitkin County, Minnesota"," 15,841 ",1,1,1,1,1,1,1
"Anoka County, Minnesota"," 344,861 ",105,131,142,150,186,196,212
"Becker County, Minnesota"," 33,552 ",2,2,2,2,2,2,2
"Beltrami County, Minnesota"," 45,847 ",6,6,6,6,6,6,6
"Benton County, Minnesota"," 39,360 ",4,4,4,4,6,10,15
"Big Stone County, Minnesota"," 5,039 ",1,1,1,2,2,2,2
"Blue Earth County, Minnesota"," 65,767 ",26,26,27,27,33,34,38
"Brown County, Minnesota"," 25,243 ",8,8,8,8,8,8,8
"Carlton County, Minnesota"," 35,408 ",38,38,46,47,53,55,59
"Carver County, Minnesota"," 98,799 ",15,15,15,16,19,20,21
"Cass County, Minnesota"," 28,810 ",4,5,5,5,5,5,5
"Chippewa County, Minnesota"," 12,040 ",1,1,1,2,2,2,2
"Chisago County, Minnesota"," 54,297 ",7,7,7,7,9,10,11
"Clay County, Minnesota"," 62,040 ",79,84,100,113,149,152,157
"Clearwater County, Minnesota"," 8,824 ",2,2,2,2,2,2,2
"Cook County, Minnesota"," 5,270 ",,,,,,,
"Cottonwood County, Minnesota"," 11,437 ",6,6,6,6,11,20,20
"Crow Wing County, Minnesota"," 63,505 ",20,20,20,20,20,20,20
"Dakota County, Minnesota"," 414,655 ",130,131,136,138,156,157,162
"Dodge County, Minnesota"," 20,485 ",18,18,18,19,19,19,21
"Douglas County, Minnesota"," 36,891 ",2,2,2,2,2,2,2
"Faribault County, Minnesota"," 13,966 ",4,4,4,4,4,5,5
"Fillmore County, Minnesota"," 20,825 ",11,12,12,12,12,12,12
"Freeborn County, Minnesota"," 30,619 ",33,33,33,33,34,34,34
"Goodhue County, Minnesota"," 46,138 ",19,19,19,19,19,19,19
"Grant County, Minnesota"," 5,923 ",,,,,,,
"Hennepin County, Minnesota"," 1,224,763 ","1,073","1,132","1,200","1,287","1,524","1,633","1,738"
"Houston County, Minnesota"," 18,709 ",1,1,1,1,1,1,1
"Hubbard County, Minnesota"," 20,743 ",,,,,,,
"Isanti County, Minnesota"," 38,584 ",6,6,6,7,6,6,6
"Itasca County, Minnesota"," 45,237 ",2,2,2,2,2,3,5
"Jackson County, Minnesota"," 10,104 ",3,5,6,7,9,12,14
"Kanabec County, Minnesota"," 15,948 ",,,,,,,
"Kandiyohi County, Minnesota"," 42,577 ",3,4,12,28,64,88,91
"Kittson County, Minnesota"," 4,384 ",1,1,1,1,1,1,1
"Koochiching County, Minnesota"," 12,776 ",1,1,1,1,1,1,1
"Lac qui Parle County, Minnesota"," 6,840 ",1,1,1,1,1,1,1
"Lake County, Minnesota"," 10,578 ",,,,,,,
"Lake of the Woods County, Minnesota"," 3,841 ",,,,,,,
"Le Sueur County, Minnesota"," 27,810 ",22,22,22,22,24,24,24
"Lincoln County, Minnesota"," 5,724 ",2,2,2,2,2,3,3
"Lyon County, Minnesota"," 25,789 ",6,6,6,6,6,6,7
"Mahnomen County, Minnesota"," 5,500 ",1,1,1,1,1,1,2
"Marshall County, Minnesota"," 9,397 ",1,1,1,1,1,1,1
"Martin County, Minnesota"," 20,084 ",41,41,41,42,52,70,88
"McLeod County, Minnesota"," 35,816 ",3,3,3,3,4,4,4
"Meeker County, Minnesota"," 23,105 ",3,3,3,4,9,9,11
"Mille Lacs County, Minnesota"," 25,635 ",1,1,1,1,2,2,2
Minnesota," 5,490,726 ",,,,,,,
"Morrison County, Minnesota"," 32,880 ",1,1,1,1,1,2,5
"Mower County, Minnesota"," 39,386 ",27,27,28,28,28,28,28
"Murray County, Minnesota"," 8,394 ",3,4,5,8,10,11,13
"Nicollet County, Minnesota"," 33,477 ",8,8,8,9,9,9,11
"Nobles County, Minnesota"," 21,854 ",126,196,258,325,477,615,742
"Norman County, Minnesota"," 6,589 ",6,6,7,7,7,8,8
"Olmsted County, Minnesota"," 151,685 ",204,213,219,238,251,256,265
"Otter Tail County, Minnesota"," 57,790 ",6,6,6,8,8,8,9
"Pennington County, Minnesota"," 14,197 ",1,1,1,1,1,1,1
"Pine County, Minnesota"," 29,057 ",15,26,43,45,56,56,56
"Pipestone County, Minnesota"," 9,229 ",2,2,2,2,2,2,2
"Polk County, Minnesota"," 31,564 ",17,19,19,20,26,27,27
"Pope County, Minnesota"," 10,932 ",,,,,,,
"Ramsey County, Minnesota"," 537,893 ",219,235,247,261,317,332,374
"Red Lake County, Minnesota"," 4,017 ",1,1,1,1,1,1,1
"Redwood County, Minnesota"," 15,430 ",1,1,1,1,1,1,2
"Renville County, Minnesota"," 14,798 ",3,3,3,3,3,4,4
"Rice County, Minnesota"," 65,251 ",7,8,9,9,11,12,14
"Rock County, Minnesota"," 9,433 ",5,5,5,5,8,9,11
"Roseau County, Minnesota"," 15,537 ",1,1,1,1,1,1,1
"Scott County, Minnesota"," 141,463 ",28,29,30,32,36,41,44
"Sherburne County, Minnesota"," 92,024 ",13,15,15,15,19,26,28
"Sibley County, Minnesota"," 14,888 ",1,1,1,1,2,2,2
"St. Louis County, Minnesota"," 200,294 ",54,58,59,61,69,71,71
"Stearns County, Minnesota"," 155,300 ",20,25,33,38,86,166,267
"Steele County, Minnesota"," 36,612 ",10,10,11,12,14,15,16
"Stevens County, Minnesota"," 9,759 ",,,,,,,
"Swift County, Minnesota"," 9,448 ",1,1,1,1,2,2,2
"Todd County, Minnesota"," 24,423 ",3,3,3,3,4,7,7
"Traverse County, Minnesota"," 3,357 ",2,2,2,2,2,2,2
"Wabasha County, Minnesota"," 21,490 ",8,8,8,8,8,8,8
"Wadena County, Minnesota"," 13,626 ",,,,,1,1,1
"Waseca County, Minnesota"," 18,898 ",3,3,3,3,4,4,4
"Washington County, Minnesota"," 250,979 ",100,100,107,112,117,120,131
"Watonwan County, Minnesota"," 10,936 ",4,4,5,5,7,9,11
"Wilkin County, Minnesota"," 6,398 ",10,11,11,11,12,12,12
"Winona County, Minnesota"," 50,992 ",61,62,64,66,66,66,66
"Wright County, Minnesota"," 131,130 ",30,32,32,33,35,40,42
"Yellow Medicine County, Minnesota"," 9,930 ",3,3,3,3,3,3,3
